Run,HV  (V),Pules height (mV),error,Pulse area (nVs),error,,,Run,HV  (V),Pules height (mV),error,Pulse area (nVs),error,,Run,HV  (V),Pules height (mV),error,Pulse area (nVs),error,,Run,HV  (V),Pules height (mV),error,Pulse area (nVs),error
5355,740,36.78,0.16,10.62,0.04,,,5355,740,36.78,0.16,10.62,0.04,,5355,740,86.43,0.26,28.53,0.07,,5355,740,174.9,3.7,61.06,1.37
5355,740,86.43,0.26,28.53,0.07,,,5358,760,43.92,0.16,12.9,0.01,,5358,760,104.3,0.4,34.65,0.12,,5358,760,210,2.8,75.56,2.94
5355,740,174.9,3.7,61.06,1.37,,,5359,780,51.88,0.18,15.67,0.04,,5359,780,121.8,0.4,41.22,0.1,,5359,780,241,4.8,NA,NA
5355,740,291.9,4.9,100.5,0.7,,,5362,720,31.14,0.12,8.601,0.034,,5362,720,73.09,0.24,23.48,0.06,,5362,720,NA,NA,53.68,1.68
5355,740,329.6,1.1,116.6,0.3,,,5363,620,NONE,NONE,NONE,NONE,,5363,620,27.82,0.08,7.667,0.029,,5363,620,54.38,0.95,17.56,0.21
5358,760,43.92,0.16,12.9,0.01,,,5366,640,NONE,NONE,NONE,NONE,,5366,640,33.73,0.12,9.763,0.04,,5366,640,65.66,1,22.18,0.53
5358,760,104.3,0.4,34.65,0.12,,,5367,660,19.39,0.13,4.16,0.06,,5367,660,41.41,0.17,12.61,0.06,,5367,660,80.58,1.66,26.23,0.42
5358,760,210,2.8,75.56,2.94,,,5370,680,22.34,0.12,5.456,0.036,,5370,680,50.16,0.2,15.67,0.05,,5370,680,96.98,1.93,32.74,0.61
5358,760,NA,NA,119.4,0.8,,,5371,700,26.36,0.14,6.856,0.045,,5371,700,61.45,0.31,19.41,0.06,,5371,700,NA,NA,NA,NA
5358,760,390.3,1.6,138.4,0.6,,,5375,800,61.23,0.2,18.75,0.06,,5375,800,143.6,0.4,48.96,0.15,,5375,800,276.9,4.4,96.34,1.24
